language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
English (American),water (not beverage),"water, watered, watering, waters",-7.21661255621558,7.881397040989571,nouns,outside,water (not beverage)
English (American),were,"'s, am, are, be, been, being, bes, beting, bing, is, was, were",-3.41769216625807,7.069386410213703,function_words,helping_verbs,were
English (American),wet (description),"wet, wets",-8.663733661436575,7.01615675489859,adjectives,descriptive_words,wet
English (American),what,"what, whats, whatting",-4.045735454544718,5.615044307834276,function_words,question_words,what
English (American),when (question),when,-6.090282351021863,11.829943384357307,function_words,question_words,when
English (American),where (question),"where, wheres",-5.813444385389647,6.11180222968542,function_words,question_words,where
English (American),which (question),which,-7.141569578424108,7.271581789544738,function_words,question_words,which
English (American),white,"white, whites, whitest",-8.15002559795611,7.792926177256837,adjectives,descriptive_words,white
English (American),who,"who, whos",-6.302717577883072,6.00839546191248,function_words,question_words,who
English (American),why,"why, whys",-6.2985126292626,6.371949644932214,function_words,question_words,why
English (American),will,"'ll, ll, will, willing, wills, wo",-6.723188886675962,8.496594274432379,function_words,helping_verbs,will
English (American),wind,"wind, winds",-9.253790943476904,7.92803970223325,nouns,outside,wind
English (American),window,"window, windows",-8.349349430377798,8.314508032128513,nouns,furniture_rooms,window
English (American),windy,"windies, windy",-10.638227143640963,6.471464019851116,adjectives,descriptive_words,windy
English (American),wipe,"wipe, wiped, wipes, wiping",-8.742717365333249,7.247023809523809,verbs,action_words,wipe
English (American),wish,"wish, wished, wishes",-9.44145844450017,8.490269461077844,verbs,action_words,wish
English (American),with,with,-5.275204964089545,9.380034802784223,function_words,locations,with
English (American),wolf,"wolf, wolfed, wolfs",-10.102950424010809,8.168359941944848,nouns,animals,wolf
English (American),woof woof,woof_woof,-12.075293830134276,2.431578947368421,other,sounds,woof woof
English (American),work (action),"work, worked, working, works",-7.2550962734342335,7.87909595026046,verbs,action_words,work (action)
English (American),work (place),"work, work+place, worked, working, works",-7.25501226452924,7.878602033100899,nouns,outside,work (place)
English (American),work (place),"work, work+place, worked, working, works",-7.25501226452924,7.878602033100899,other,places,work (place)
English (American),would,would,-6.353992106527657,9.323768254401529,function_words,helping_verbs,would
English (American),write,"write, writes, writing, written",-7.957951858304473,7.882742236551842,verbs,action_words,write
