"language","lexical_category","freq_mean","bias","bias_type","predicativeAdj"
"Irish","Nouns",-9.3550668003099,0.0093427839672673,"Adjective bias","absent"
"Irish","Verbs",-8.97667879168647,0.0093427839672673,"Adjective bias","absent"
"Irish","Adjectives",-8.91529471401037,0.0093427839672673,"Adjective bias","absent"
"Italian","Nouns",-9.49123964660385,-0.0711170534514564,"Adjective bias","absent"
"Italian","Verbs",-8.34684791500885,-0.0711170534514564,"Adjective bias","absent"
"Italian","Adjectives",-9.08807392497651,-0.0711170534514564,"Adjective bias","absent"
"Japanese","Nouns",-8.92946538825788,0.0071470535147371,"Adjective bias","present"
"Japanese","Verbs",-8.2473462851388,0.0071470535147371,"Adjective bias","present"
"Japanese","Adjectives",-8.00893132962448,0.0071470535147371,"Adjective bias","present"
"Korean","Nouns",-7.97857563589307,-0.0497914544658972,"Adjective bias","present"
"Korean","Verbs",-7.8468196821696,-0.0497914544658972,"Adjective bias","present"
"Korean","Adjectives",-7.92724530790561,-0.0497914544658972,"Adjective bias","present"
"Mandarin (Beijing)","Nouns",-9.53875042786472,0.00608669469346437,"Adjective bias","present"
"Mandarin (Beijing)","Verbs",-7.83854913964428,0.00608669469346437,"Adjective bias","present"
"Mandarin (Beijing)","Adjectives",-8.13012292905194,0.00608669469346437,"Adjective bias","present"
"Mandarin (Taiwanese)","Nouns",-8.95004602714827,-0.0547924153407705,"Adjective bias","present"
"Mandarin (Taiwanese)","Verbs",-6.7181372255267,-0.0547924153407705,"Adjective bias","present"
"Mandarin (Taiwanese)","Adjectives",-9.95876434431354,-0.0547924153407705,"Adjective bias","present"
"Portuguese (European)","Nouns",-9.22744201970083,-0.0553126835840577,"Adjective bias","absent"
"Portuguese (European)","Verbs",-7.05297757787886,-0.0553126835840577,"Adjective bias","absent"
"Portuguese (European)","Adjectives",-8.70577422704157,-0.0553126835840577,"Adjective bias","absent"
"Russian","Nouns",-8.49691545388111,-0.086933415909907,"Adjective bias","absent"
"Russian","Verbs",-7.67001636885391,-0.086933415909907,"Adjective bias","absent"
"Russian","Adjectives",-8.37176019465353,-0.086933415909907,"Adjective bias","absent"
"Spanish (Argentinian)","Nouns",-9.68016169101823,-0.0614128225388457,"Adjective bias","absent"
"Spanish (Argentinian)","Verbs",-7.94319913617741,-0.0614128225388457,"Adjective bias","absent"
"Spanish (Argentinian)","Adjectives",-8.7599343528213,-0.0614128225388457,"Adjective bias","absent"
"Spanish (European)","Nouns",-9.76579797946652,0.00121573500080563,"Adjective bias","absent"
"Spanish (European)","Verbs",-7.64243312791794,0.00121573500080563,"Adjective bias","absent"
"Spanish (European)","Adjectives",-8.78173609391826,0.00121573500080563,"Adjective bias","absent"
"Spanish (Mexican)","Nouns",-9.69608894757348,-0.101496654581367,"Adjective bias","absent"
"Spanish (Mexican)","Verbs",-7.87468741445591,-0.101496654581367,"Adjective bias","absent"
"Spanish (Mexican)","Adjectives",-8.83679929665918,-0.101496654581367,"Adjective bias","absent"
"Spanish (Peruvian)","Nouns",-9.47749201093177,-0.0375067016397973,"Adjective bias","absent"
"Spanish (Peruvian)","Verbs",-7.36515115800395,-0.0375067016397973,"Adjective bias","absent"
"Spanish (Peruvian)","Adjectives",-8.63982956732252,-0.0375067016397973,"Adjective bias","absent"
"Swedish","Nouns",-9.82552021421538,-0.0887702934030356,"Adjective bias","absent"
"Swedish","Verbs",-8.72255530275024,-0.0887702934030356,"Adjective bias","absent"
"Swedish","Adjectives",-9.10516542525408,-0.0887702934030356,"Adjective bias","absent"
"Turkish","Nouns",-8.56825707552044,-0.0781545504623752,"Adjective bias","present"
"Turkish","Verbs",-7.38541563377901,-0.0781545504623752,"Adjective bias","present"
"Turkish","Adjectives",-8.14368064988862,-0.0781545504623752,"Adjective bias","present"
